X_Coordinate,Y_Coordinate,Signal_Strength,Zone,Floor,Student_Density
62.398468416427164,92.62672520184351,-59.927696780015474,Computer Labs,1st,22
22.31351384593765,21.304054825768183,-42.67175711302623,Library,3rd,20
70.12535603528227,38.50349439812262,-73.00361574398016,Hostel,3rd,39
48.30401369497685,13.380814775401372,-74.93430043018797,Library,Ground,29
29.18108091513929,70.328549912948,-81.6928025276387,Main Block,Ground,10
31.039300548012882,4.93657610325905,-66.75796116471899,Computer Labs,1st,46
34.17526182939835,68.83324750488188,-63.24033651754007,Hostel,Ground,108
62.00295409920601,82.91135570435584,-66.65658650060126,Main Block,1st,5
60.30942760783563,89.6034912806342,-82.42232578312719,Main Block,2nd,28
62.00215390459329,60.463052485327985,-45.08642518045231,Hostel,3rd,13
21.63454071124744,96.8575271956996,-66.39259189851086,Main Block,1st,33
29.910539265796064,5.5400281592314915,-41.827885542863704,Computer Labs,3rd,36
76.35046774689779,26.819510306474225,-71.93603560977418,Hostel,2nd,35
62.48747349361955,87.90840220371993,-76.13784486971599,Main Block,Ground,81
74.44267429784313,7.900838784345144,-55.33129630978145,Canteen,1st,77
55.32318209890346,59.3597206183886,-61.20433457951262,Hostel,1st,139
88.33095232540985,68.5406589057305,-70.1112910625902,Main Block,Ground,61
98.94629055149402,28.807787581428656,-63.016311832911484,Library,2nd,112
97.17245194270818,19.791834925829153,-63.71374885900072,Hostel,Ground,70
91.93242682738129,67.01989416932285,-87.16004925853728,Main Block,2nd,53
73.05735241932642,68.21963253520072,-53.82177805927202,Library,3rd,67
12.60016350892993,86.99252084361743,-37.44991745573353,Computer Labs,1st,144
32.69261445787338,4.561095382269631,-42.06242942470661,Computer Labs,1st,113
52.358398921085815,27.82142110531658,-86.93647585281511,Main Block,1st,124
17.38683615586695,86.4759006069628,-50.65183583367804,Canteen,1st,7
46.471677208937315,48.14253957163035,-52.996269566942814,Canteen,1st,5
90.7902770011852,20.635964691477003,-88.20221705697716,Computer Labs,Ground,93
24.94294091774256,4.535469351705657,-81.6295838964296,Main Block,3rd,23
31.957944563227926,89.51659129720579,-88.13883780881153,Canteen,1st,49
62.39840292430211,65.18925502938569,-79.02369002092854,Hostel,2nd,85
32.449565547167225,66.85929302426807,-84.05525612395823,Computer Labs,1st,145
67.51261575803473,66.06022484555942,-43.6149896415603,Canteen,2nd,63
32.97824869496938,78.17289050541972,-40.04711645257612,Library,2nd,134
66.36580594033057,60.415100930724485,-80.55242528228803,Hostel,2nd,89
88.49025489769933,22.11218026644952,-45.54465124767707,Library,Ground,29
7.827478944770771,13.437180042553564,-57.74742782112672,Computer Labs,1st,118
22.466702683842932,58.01885462125339,-80.3243931644227,Canteen,1st,30
82.11891897287651,74.43122676226422,-46.178914218240386,Hostel,1st,120
20.081544131291817,57.2924648994021,-76.26190523671062,Hostel,2nd,19
41.661774982632,78.22159438240854,-55.52737540008211,Hostel,2nd,24
68.39766771803397,81.93191865944453,-34.83165350695426,Computer Labs,Ground,144
52.57941819893015,39.34152795260284,-81.5178225181758,Hostel,Ground,91
69.24471491003695,78.685012947104,-48.3708307427711,Main Block,Ground,98
17.804134316346463,89.56800434878052,-50.18071113208079,Canteen,Ground,85
77.25947638562722,67.3100317797934,-70.87328037501148,Canteen,2nd,70
16.99391668438449,5.165374174003312,-40.96087260915304,Computer Labs,Ground,72
23.36596110133118,36.52352435014793,-30.047166850032568,Canteen,Ground,44
42.39028355192055,88.67023332948757,-52.294632217423484,Canteen,Ground,106
95.80498410588173,12.841988590162723,-51.511369345218306,Canteen,1st,123
41.68811589510505,92.29217389017009,-59.32662229245793,Library,Ground,87
8.882210723105178,46.83797390990668,-41.276245303727976,Library,2nd,94
88.69427203030786,61.7906141514453,-38.34712440645321,Canteen,2nd,84
89.60779445157878,5.279985910287433,-42.89222540000886,Main Block,1st,61
27.607405429543107,22.453467632325452,-40.956454526028956,Hostel,Ground,122
24.01031960193358,23.70013025208634,-64.21223811620351,Canteen,3rd,77
57.78711432221629,61.42839784028155,-68.81763726480186,Library,1st,107
91.09280215679726,1.4855447869039917,-30.73053198866019,Main Block,2nd,11
95.013765432958,89.16370063392293,-73.64948935672066,Library,Ground,93
34.16339298849353,2.62103800722866,-46.74492321292124,Hostel,2nd,149
85.24641145825679,13.71745929157251,-69.80133469830783,Main Block,2nd,115
67.79504200064214,97.88242346958384,-71.17692898783952,Library,2nd,71
75.03394317216924,95.83305407012512,-78.69716663094276,Main Block,2nd,113
50.05794776065833,47.99197501308221,-81.5673379948652,Hostel,3rd,76
65.90056069635743,93.45056785482271,-48.973835692324634,Library,2nd,24
14.282375836467875,83.90635639151094,-32.663098911680436,Computer Labs,2nd,87
17.827934362623445,74.15850653081156,-52.66425360064991,Canteen,2nd,91
48.833067733279854,81.83802472004163,-70.8195944761815,Hostel,1st,113
76.81294631362448,55.1480444327762,-34.280855051854175,Computer Labs,3rd,96
8.061442808688746,77.67454586204923,-37.66181211821602,Hostel,Ground,149
37.01335769974654,11.774820730893865,-72.61490389036543,Canteen,1st,34
33.23557654658595,1.8434494552201586,-40.60570286968849,Hostel,1st,124
13.06259965614267,30.977805379680234,-58.924646699766924,Hostel,Ground,72
7.472179392161948,56.79779747356558,-54.426408853625986,Main Block,1st,57
50.1306829141969,58.394451210727794,-62.35886643675677,Main Block,Ground,81
44.64872880296835,92.91923313281444,-73.83692410647538,Canteen,1st,92
7.147120217903424,59.93989646361876,-54.75274541976035,Main Block,3rd,57
51.249335967942145,52.83898662777455,-67.97524292386198,Main Block,3rd,17
62.18055682488768,35.97711964493795,-30.637335385357126,Library,Ground,12
19.215949876275793,44.2636160925976,-63.66833002179892,Computer Labs,Ground,65
8.890432617534284,49.743280346328746,-77.23172786333815,Canteen,2nd,117
42.37867135029416,83.46930691520588,-78.09580201109631,Canteen,3rd,120
99.6255874039828,43.30680322788295,-88.90338965605986,Main Block,2nd,75
26.082791601272792,86.45930266210549,-53.49506323074743,Library,3rd,121
66.3082928143915,99.31686480655489,-57.27040990300152,Canteen,3rd,122
16.663360960629714,32.68598512388875,-30.642670808433216,Main Block,1st,145
38.99001836349986,34.31874808925125,-76.26663085933747,Computer Labs,2nd,137
41.946137403200055,39.259373992628674,-86.6468013000873,Main Block,2nd,85
0.18750039536771235,50.75537054813529,-68.97244571317998,Computer Labs,1st,131
87.26373524536545,47.33242716943546,-49.40382638833768,Canteen,3rd,99
75.03771499565136,54.827195630825855,-42.48267648268558,Hostel,1st,44
85.57654828823726,31.791002685222068,-57.089701156474526,Main Block,Ground,149
49.89720214580004,86.47480835638815,-86.66825414660437,Library,Ground,35
7.770251604506406,42.97012780302938,-69.55684233076781,Computer Labs,3rd,125
28.103666278668992,9.465417828042044,-32.29821579767948,Main Block,3rd,39
3.73446146781804,59.81716460131933,-60.627955377141305,Main Block,3rd,35
29.358271532137124,6.4153855989408815,-62.11124352829944,Hostel,Ground,46
93.5654744045128,21.319860418159042,-59.48875420393699,Library,3rd,135
10.536963864049852,27.393420340509024,-83.21524219732217,Computer Labs,2nd,92
48.55399582307267,31.23543891539976,-80.26251203792182,Main Block,Ground,20
5.777913133846102,33.86413019748132,-37.73228764466531,Library,1st,111
45.64201921566112,5.059857894285436,-69.53475040665401,Main Block,1st,40
0.11739728698387797,94.89096779879449,-37.94233376157598,Canteen,1st,99
92.07382929823562,42.25989564241978,-30.190972116429194,Hostel,1st,47
15.813385012817772,30.855758779264807,-39.2869588568091,Main Block,3rd,101
65.646138264887,50.55506119200061,-36.39319527279983,Hostel,2nd,17
72.41352488669057,30.121769507435225,-50.22869986672295,Hostel,1st,102
5.3555044511289225,25.31818705703195,-80.49115494663494,Canteen,2nd,22
56.44823836201982,49.971171167647476,-37.853669576029645,Library,3rd,46
3.017707600440944,86.37823648180637,-54.49144453326248,Library,2nd,109
80.57214022424394,76.56225750812035,-80.52897916083796,Canteen,3rd,67
16.157138548137706,77.53423911826313,-74.49661671818919,Computer Labs,1st,131
64.67671175939014,56.36984646201174,-45.45272238299182,Hostel,3rd,40
69.0148126574242,73.7914191464715,-66.80477942247781,Computer Labs,3rd,28
48.93777140856598,10.686749247136994,-51.531181614162456,Main Block,3rd,122
31.193192082067732,49.92949944105571,-89.65684871269829,Library,Ground,46
21.98856100285358,97.76791752208368,-30.14474544381671,Hostel,Ground,81
7.546830993948117,28.576514849521384,-62.70660066786111,Hostel,3rd,98
17.442565902236275,36.987973550952134,-49.98656771933314,Main Block,1st,119
78.82496895282242,41.91642271179236,-49.78650064634023,Canteen,3rd,28
74.10935967945021,78.87847722192576,-36.444498468896064,Library,2nd,101
6.598414646210992,13.766596080906856,-86.31595818165287,Main Block,2nd,127
74.8934410994059,4.796565892439675,-44.98167775062267,Library,2nd,129
63.975049389918006,94.07788518592034,-53.22409857165994,Main Block,Ground,70
22.57131664400648,24.745404941305218,-56.19365461045307,Main Block,Ground,20
95.38208076393906,48.71711435976038,-87.00068676590213,Library,2nd,103
76.59671306620255,76.63553383238641,-60.05039783445494,Library,1st,27
66.0221400417908,0.14436863735346472,-51.59109566479872,Hostel,Ground,101
27.72262067495479,75.55740472415651,-80.64889955350804,Computer Labs,1st,138
80.52674305704247,10.466255433974936,-66.0221868484636,Computer Labs,1st,106
92.55756239726057,89.00466038121854,-79.78239658975255,Hostel,Ground,140
10.085074583261633,18.246366902130696,-36.15397340994705,Computer Labs,1st,14
17.89427931670412,4.35547323921639,-54.36515847975292,Main Block,1st,119
24.812795941011867,29.905808705212756,-80.893791148718,Main Block,3rd,48
53.215495638512486,97.2585281798118,-59.90969291080425,Library,3rd,58
91.46287215653174,41.23499315640898,-45.130727103658124,Computer Labs,3rd,65
36.755453384199974,58.16147750455447,-64.65730221197153,Library,2nd,22
33.84456578745636,73.64495783820175,-79.72231724593173,Library,2nd,66
96.52048058425724,1.4158906077179623,-44.94938693690962,Canteen,3rd,130
29.09927300188694,13.134833754257258,-75.8734416747414,Canteen,Ground,80
10.374197687003994,32.675723514875884,-87.3937445817689,Library,2nd,140
94.4407309752873,34.1810576063002,-79.29207725796022,Library,2nd,39
98.14240474217827,1.4496655555063964,-59.844999802178144,Main Block,2nd,87
46.06333840724719,43.51657404021538,-37.86249804472796,Hostel,Ground,146
72.59831635178129,10.783717214484778,-48.901063254384695,Main Block,1st,84
90.35522032731632,3.490699827609678,-79.16995571833432,Computer Labs,1st,112
86.61957486404526,49.726998412542535,-46.70378227505261,Canteen,3rd,47
58.444819619085294,49.45267267236703,-66.0273221338358,Canteen,1st,70
36.189699366445524,96.61186825173115,-78.9378982436664,Main Block,2nd,51
35.62462339749069,43.32799644722063,-63.28964738476833,Computer Labs,2nd,49
90.31003483013146,35.28269004586754,-70.82861365558124,Hostel,1st,82
15.904217586520918,0.6191843550194642,-54.28524386994802,Computer Labs,1st,57
91.92477229330669,79.16602861759492,-45.91134938478491,Canteen,Ground,61
18.803183049807394,94.35493550990486,-52.453133270335755,Library,1st,81
18.24315279965595,70.41807143335309,-62.73441400863537,Main Block,1st,21
93.35507772058551,2.1614273180254773,-42.09584128269562,Computer Labs,2nd,126
72.6181656215822,66.78101478397646,-50.50621313793872,Canteen,1st,82
31.841592441886178,34.34053252004382,-70.08572632594067,Library,2nd,117
89.71281791162538,79.2429527563169,-42.73019849607933,Library,3rd,144
81.85926483864854,44.357469807847075,-40.3245328238339,Computer Labs,Ground,135
